CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
,7/1/2019,31.21788923,31.07714876,17.09389257,17.17502332
,7/2/2019,30.81463234,30.58699052,16.71999518,17.02882234
,7/3/2019,31.08596547,31.01038035,16.24439406,17.93463461
,7/4/2019,31.57631779,31.13754455,16.68324101,18.27953561
,7/5/2019,32.15703837,31.87946614,13.41900591,18.35840011
,7/6/2019,32.44533205,32.60875034,13.36509891,18.25996017
,7/7/2019,32.34005308,33.33875624,14.46110741,17.01401297
,7/8/2019,32.39612118,32.56058804,15.28879853,15.81631466
,7/9/2019,32.44054373,32.60732841,15.1799984,16.39759684
,7/10/2019,32.47387218,32.87579997,14.48507154,16.5080684
,7/11/2019,32.01246516,32.97427805,15.77433483,17.32834852
,7/12/2019,30.76846886,30.78791642,19.54799843,19.55575474
,7/13/2019,29.58884088,29.59602165,20.04812018,20.04859614
,7/14/2019,29.64742637,29.6717213,20.17537228,20.55082854
,7/15/2019,29.98062682,30.03379687,21.09681233,22.04813711
,7/16/2019,30.38553707,30.42913373,20.84726954,22.86078374
,7/17/2019,30.73927299,30.55229568,20.35326076,23.42884405
,7/18/2019,31.30699309,31.04371985,20.47426168,23.47093924
,7/19/2019,31.7837278,31.486962,20.83318686,23.14344613
,7/20/2019,31.52726078,31.70247142,21.14430404,22.95650125
,7/21/2019,31.16851044,31.2931215,21.67501736,23.34366043
,7/22/2019,30.79251742,31.19136755,21.38921833,22.90397946
,7/23/2019,30.0546457,30.65384992,20.81914306,22.51872643
,7/24/2019,29.49311241,29.92338363,18.67123659,22.36164983
,7/25/2019,30.22135719,30.32313999,18.78747209,22.34810392
,7/26/2019,30.59476916,31.35813014,20.16508349,22.02770503
,7/27/2019,31.18228642,31.14263797,20.65643628,21.97741334
,7/28/2019,31.83677665,31.4626023,21.1386524,22.05988932
,7/29/2019,31.84745248,31.74744717,21.45593707,21.60371701
,7/30/2019,31.64204137,31.40265179,21.55134583,21.56265171
,7/31/2019,31.40397008,31.13516728,21.13350248,21.79443789
,8/1/2019,31.63265443,31.22899707,21.14140137,22.77647861
,8/2/2019,31.22119792,31.94653392,18.73784049,22.46930695
,8/3/2019,31.41804957,32.29012934,18.97907837,21.93536218
,8/4/2019,31.10696395,32.6024696,18.99215905,21.31276751
,8/5/2019,30.64326119,31.04187767,19.26358755,19.77994283
,8/6/2019,30.69592396,30.60756437,20.00147128,20.01036056
,8/7/2019,31.10122013,31.04316258,19.56957992,20.41642165
,8/8/2019,31.17242217,31.3739686,17.99182312,19.91367364
,8/9/2019,31.24213195,31.46997356,17.10133648,18.72054068
,8/10/2019,31.31240686,31.55922016,15.01242797,18.64451623
,8/11/2019,31.2646745,31.80306927,13.85259632,19.02045075
,8/12/2019,31.4029061,32.20077372,13.99450235,18.70570413
,8/13/2019,32.01213916,32.67058865,14.1649549,17.69586102
,8/14/2019,32.70727404,33.15129503,14.33707857,17.03077984
,8/15/2019,32.69309489,33.41356834,14.09004291,17.13106227
,8/16/2019,32.66862082,33.82016357,14.30490319,17.29685545
,8/17/2019,32.76987648,33.26669137,15.45035489,16.18505593
,8/18/2019,32.22102253,32.23650527,15.60161308,15.61830111
,8/19/2019,31.58913922,31.37273455,15.52402377,15.58777475
,8/20/2019,31.02131534,31.04989425,15.65027316,15.66388436
,8/21/2019,30.64543072,30.54843211,15.75712307,15.91792115
,8/22/2019,30.81760287,30.66191681,15.98549461,16.38404266
,8/23/2019,31.0573922,30.75202274,16.28051718,16.4588654
,8/24/2019,31.39645902,31.06965868,16.18544686,16.63176298
,8/25/2019,31.42447058,32.98389324,16.33972613,19.21858279
,8/26/2019,31.04192774,32.70904414,17.10325074,18.97487791
,8/27/2019,30.72484668,30.53915819,17.30058479,17.50145713
,8/28/2019,31.01452422,30.8242534,17.16496325,18.02446636
,8/29/2019,31.05669347,31.83501108,17.58115621,20.11947195
,8/30/2019,30.93381445,33.19462061,18.41558154,22.34162998
